movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
"I Love You, Beth Cooper","Canada, USA",10 Jul 2009,De Line Pictures,5.8,54,56%,2009,30590100,18000000,14800725,1581813,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0.0,102.0,16382538,91.01%
Observe and Report,USA,10 Apr 2009,Metro-Goldwyn-Mayer,6.6,58,19%,2009,22210100,18000000,24007324,3141574,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,86.0,27148898,150.83%
Fame,USA,16 May 1980,Radar Pictures,6.4,58,67%,2009,107400100,18000000,22455510,57772109,PG,Contemporary Fiction,Remake,Live Action,Musical,0.0,107.0,80227619,445.71%
The Invention of Lying,USA,02 Oct 2009,"RKO Radio Pictures Inc., Vanguard Films Production",7.9,100,79%,2009,114230100,18500000,18451251,14228013,PG-13,Fantasy,Original Screenplay,Live Action,Comedy,0.0,100.0,32679264,176.64%
Notorious,USA,06 Sep 1946,"Barber-Birnbaum, Benderspink",6.5,33,50%,2009,15360100,19000000,36843682,8128501,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,122.0,44972183,236.70%
Leap Year,"USA, Ireland",08 Jan 2010,"Reuben Cannon, Tyler Perry Studios, Lionsgate Films",4.5,55,89%,2009,134090100,19000000,25918920,6700000,PG,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,119.0,32618920,171.68%
The Burning Plain,"USA, Mexico, Argentina",05 Nov 2009,Mark Gordon Productions,5.6,38,42%,2009,84850100,20000000,200730,966362,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,,1167092,5.84%
12 Rounds,USA,27 Mar 2009,"Goldsmith-Thomas Productions, Walden Media",6.3,66,13%,2009,130680100,20000000,12234694,5071954,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,108.0,17306648,86.53%
Bandslam,USA,14 Aug 2009,"Lions Gate Entertainment, Tyler Perry Company",4.7,43,39%,2009,46060100,20000000,5210988,7756841,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,111.0,12967829,64.84%
Why Did I Get Married Too?,USA,02 Apr 2010,"Stars Road Entertainment, Farah Films",5.7,50,44%,2009,134230100,20000000,60095852,735215,PG-13,Contemporary Fiction,Based on Play,Live Action,Drama,1.0,121.0,60831067,304.16%
Armored,USA,04 Dec 2009,Troublemaker Studios,4.7,53,85%,2009,133410100,20000000,15988876,7672162,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,88.0,23661038,118.31%
Shorts,"USA, United Arab Emirates",21 Aug 2009,Hollywood Gang,7.1,47,85%,2009,25100100,20000000,20919166,8951635,PG,Kids Fiction,Original Screenplay,Live Action,Adventure,0.0,89.0,29870801,149.35%
Everybody's Fine,USA,04 Dec 2009,Offspring Entertainment,6.0,33,59%,2009,105130100,20000000,9208876,0,PG-13,Contemporary Fiction,Remake,Live Action,Drama,0.0,100.0,9208876,46.04%
The Last Song,USA,31 Mar 2010,"Ram Bergman, Endgame Entertainment",6.8,55,18%,2009,112430100,20000000,62950384,29728564,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,107.0,92678948,463.39%
The Brothers Bloom,USA,19 Jun 2009,Dog Eat Dog Films,7.4,61,74%,2009,50520100,20000000,3531756,2000000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,114.0,5531756,27.66%
Fired Up,USA,10 Apr 1997,"Dark Castle Entertainment, Appian Way",6.9,42,64%,2009,27810100,20000000,17231291,1377279,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,91.0,18608570,93.04%
Capitalism: A Love Story,USA,02 Oct 2009,"Screen Gems, Rainforest Films",5.0,25,34%,2009,84040100,20000000,14363397,4758134,R,Factual,Based on Real Life Events,Live Action,Documentary,0.0,127.0,19121531,95.61%
Orphan,"USA, Canada, Germany, France",24 Jul 2009,"Big Beach, Edward Saxon",7.0,58,48%,2009,13480100,20000000,41596251,37173177,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,123.0,78769428,393.85%
Obsessed,USA,24 Apr 2009,"Section Eight Ltd., Jaffe/Braunstein Films",6.4,66,12%,2009,7340100,20000000,68261644,5703069,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,108.0,73964713,369.82%
Away We Go,"USA, UK",26 Jun 2009,Pathé,6.2,63,48%,2009,38170100,21000000,9451946,656070,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,98.0,10108016,48.13%
The Informant!,USA,18 Sep 2009,Pariah Films,7.6,73,11%,2009,31470100,22000000,33316821,8454347,R,Contemporary Fiction,Based on Factual Book/Article,Live Action,Thriller/Suspense,0.0,108.0,41771168,189.87%
Shi Yue Wei Cheng,China,16 Feb 2014,"Smoke House, Paul Lister",6.2,54,91%,2009,136750100,23000000,0,44195779,,Historical Fiction,,,Action,0.0,139.0,44195779,192.16%
Chéri,"UK, France, Germany",17 Jul 2009,"Castle Rock Entertainment, State Street Pictures",6.4,44,90%,2009,53160100,23000000,2715657,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,92.0,2715657,11.81%
Zombieland,USA,02 Oct 2009,"Capitol Films, Rising Star, Anvil Films",5.7,37,43%,2009,105270100,23600000,75590286,26646310,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,87.0,102236596,433.21%
The Men Who Stare at Goats,"USA, UK",06 Nov 2009,"Rogue Pictures, Scion Films, Relativity",5.6,61,15%,2009,109740100,24000000,32428195,34920023,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy,0.0,94.0,67348218,280.62%
Faster,USA,24 Nov 2010,Darko Entertainment,5.6,47,64%,2009,112590100,24000000,23240020,12552925,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,98.0,35792945,149.14%
Love Ranch,"USA, Germany",06 Jan 2011,Edward R. Pressman Film Corp.,6.6,69,92%,2009,119170100,25000000,137885,8264,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,146149,0.58%
Fighting,USA,24 Apr 2009,"CinemaNX, Detour Filmproduction",6.7,73,57%,2009,22770100,25000000,23091010,9740697,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,84.0,32831707,131.33%
The Box,USA,06 Nov 2009,"EuropaCorp, Grive Productions, M6 Films Production",7.8,51,75%,2009,115470100,25000000,15051977,11289919,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,115.0,26341896,105.37%
Bad Lieutenant: Port of Call New Orleans,USA,11 Dec 2009,Wayan Bros. Entertainment,3.5,40,78%,2009,118960100,25000000,1702112,10711837,R,Contemporary Fiction,Remake,Live Action,Drama,0.0,122.0,12413949,49.66%
Me and Orson Welles,"UK, Isle Of Man, USA",18 Dec 2009,"2929 Productions, Chockstone Pictures, Dimension Films",7.2,64,28%,2009,110900100,25000000,1190003,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,113.0,1190003,4.76%
Taken,"France, USA, UK",30 Jan 2009,"Sighvatsson Films, Relativity, Michael De Luca",7.1,58,28%,2009,1960100,25000000,145000989,81940596,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,91.0,226941585,907.77%
Dance Flick,USA,22 May 2009,Happy Madison Productions,5.2,39,7%,2009,21020100,25000000,25794018,6430606,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,84.0,32224624,128.90%
The Road,USA,25 Nov 2009,"Mark Johnson, Scott L. Goldman, Curmudgeon",7.4,51,18%,2009,117920100,25000000,8114270,21092462,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,111.0,29206732,116.83%
Brothers,USA,04 Dec 2009,"Relativity, Robert Simonds Productions",5.4,27,5%,2009,112190100,26000000,28544157,16499713,R,Historical Fiction,Remake,Live Action,Drama,0.0,105.0,45043870,173.25%
Brothers,USA,04 Dec 2009,"Relativity, Robert Simonds Productions",5.4,27,5%,2015,236560100,13000000,656688,17200000,Not Rated,Contemporary Fiction,Remake,Live Action,Action,0.0,155.0,17856688,137.36%
Brothers,USA,04 Dec 2009,"Iron Horse Entertainment, Warner Bros.",5.6,60,16%,2009,112190100,26000000,28544157,16499713,R,Historical Fiction,Remake,Live Action,Drama,0.0,105.0,45043870,173.25%
Brothers,USA,04 Dec 2009,"Iron Horse Entertainment, Warner Bros.",5.6,60,16%,2015,236560100,13000000,656688,17200000,Not Rated,Contemporary Fiction,Remake,Live Action,Action,0.0,155.0,17856688,137.36%
Paul Blart: Mall Cop,USA,16 Jan 2009,Focus Features,6.7,55,78%,2009,1920100,26000000,146336178,39568572,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,91.0,185904750,715.02%
My Sister's Keeper,USA,26 Jun 2009,"New Regency Pictures, Birdie, Riche-Ludwig Productions",5.5,24,46%,2009,11280100,27500000,49200230,47472772,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,109.0,96673002,351.54%
The Spy Next Door,USA,15 Jan 2010,Montecito Picture Company,7.4,83,66%,2009,112360100,28000000,24307106,22445752,PG,Kids Fiction,Original Screenplay,Live Action,Adventure,0.0,94.0,46752858,166.97%
Taking Woodstock,USA,28 Aug 2009,WingNut Films,7.9,81,63%,2009,41490100,29000000,7460204,2606162,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,121.0,10066366,34.71%
Bride Wars,USA,09 Jan 2009,Walt Disney Pictures,4.5,47,14%,2009,8880100,30000000,58715510,56434914,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,89.0,115150424,383.83%
Up in the Air,USA,23 Dec 2009,"Infinity Entertainment, Poo Poo Pictures",6.8,65,38%,2009,109830100,30000000,83823381,83019358,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,109.0,166842739,556.14%
District 9,"South Africa, USA, New Zealand, Canada",14 Aug 2009,Ghost House Pictures,6.5,83,29%,2009,3460100,30000000,115646235,96807196,R,Science Fiction,Original Screenplay,Animation/Live Action,Thriller/Suspense,0.0,111.0,212453431,708.18%
Dragonball Evolution,"USA, Mexico, Japan, Hong Kong, UK",10 Apr 2009,Gaumont,5.7,66,41%,2009,38290100,30000000,9362785,48865675,PG,Fantasy,Based on TV,Live Action,Adventure,0.0,85.0,58228460,194.09%
The Imaginarium of Doctor Parnassus,"UK, France, Canada",08 Jan 2010,"Fandango, Harold Greenberg Fund",7.3,67,20%,2009,119330100,30000000,7689607,56663000,PG-13,Fantasy,Original Screenplay,Live Action,Adventure,0.0,122.0,64352607,214.51%
9,USA,09 Sep 2009,Screen Gems,6.2,45,83%,2009,22060100,30000000,31749894,16810105,PG-13,Fantasy,Original Screenplay,Digital Animation,Adventure,0.0,79.0,48559999,161.87%
Splice,"Canada, France, USA, Germany",04 Jun 2010,Dark Castle Entertainment,5.5,N/A,56%,2009,110740100,30000000,17010170,11532324,R,Science Fiction,Original Screenplay,Animation/Live Action,Horror,0.0,104.0,28542494,95.14%
Barney's Version,"Italy, Canada",18 Feb 2011,CBS Films,5.4,34,93%,2009,110420100,30000000,7502560,1343015,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,132.0,8845575,29.49%
Extraordinary Measures,USA,22 Jan 2010,Tapestry Films,5.4,19,28%,2009,128920100,31000000,12482741,3344243,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,106.0,15826984,51.05%
Takers,USA,27 Aug 2010,Green Hat Films,7.7,73,38%,2009,122480100,32000000,57744720,12842548,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,107.0,70587268,220.59%
Whiteout,"USA, Canada, France, Turkey",11 Sep 2009,"Donners&#39; Company, Montecito Picture Company",5.4,51,89%,2009,38250100,35000000,10275638,1979108,R,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0.0,101.0,12254746,35.01%
The Back-up Plan,USA,23 Apr 2010,Gil Netter,7.6,53,67%,2009,112340100,35000000,37490007,37791172,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,104.0,75281179,215.09%
Old Dogs,USA,25 Nov 2009,"Metro-Goldwyn-Mayer, New Crime Productions, United Artists",6.4,63,72%,2009,122820100,35000000,49492060,45612244,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,88.0,95104304,271.73%
The Hangover,"USA, Germany",05 Jun 2009,"Lakeshore Entertainment, Steven Reuther",6.4,28,33%,2009,410100,35000000,277322503,188441583,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,100.0,465764086,1330.75%
Hotel for Dogs,"Germany, USA",16 Jan 2009,"Icon Entertainment International, Infinity Entertainment",6.1,36,68%,2009,6630100,35000000,73178547,49178625,PG,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,100.0,122357172,349.59%
The Blind Side,USA,20 Nov 2009,"Plan B Entertainment, Nick Wechsler",7.1,47,86%,2009,112310100,35000000,255959475,49746319,PG-13,Dramatization,Based on Factual Book/Article,Live Action,Drama,0.0,128.0,305705794,873.45%
Hot Tub Time Machine,USA,26 Mar 2010,"Constantin Film, Impact Pictures",6.7,28,5%,2009,115330100,36000000,50269859,15697891,R,Science Fiction,Original Screenplay,Live Action,Comedy,0.0,99.0,65967750,183.24%
The Ugly Truth,USA,24 Jul 2009,Mandeville Films,6.7,48,42%,2009,5030100,38000000,88915214,116383693,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,95.0,205298907,540.26%
Push,"USA, Canada",06 Feb 2009,Flower Films,6.4,47,34%,2009,17870100,38000000,31811527,12600000,PG-13,Science Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,111.0,44411527,116.87%
The Time Traveler's Wife,USA,14 Aug 2009,"Fox Searchlight, Avalon Pictures",5.8,37,58%,2009,8460100,39000000,63414846,38917289,PG-13,Science Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,107.0,102332135,262.39%
Pandorum,"Germany, UK, USA",25 Sep 2009,Metro-Goldwyn-Mayer,6.2,N/A,28%,2009,115070100,40000000,10330853,6702578,R,Science Fiction,Original Screenplay,Live Action,Horror,0.0,108.0,17033431,42.58%
The Proposal,USA,19 Jun 2009,"De Line Pictures, Montecito Picture Company",7.0,70,30%,2009,1600100,40000000,163958031,150751686,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,107.0,314709717,786.77%
He's Just Not That Into You,"Germany, USA",06 Feb 2009,Offspring Entertainment,6.3,48,26%,2009,4590100,40000000,93953653,87100004,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0.0,129.0,181053657,452.63%
Amelia,"USA, Canada",23 Oct 2009,American Empirical Pictures,7.9,83,9%,2009,133430100,40000000,14279575,5476502,PG,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,111.0,19756077,49.39%
"I Love You, Man",USA,20 Mar 2009,"Donners&#39; Company, Depth of Field",5.8,43,38%,2009,6840100,40000000,72013010,20289492,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,105.0,92302502,230.76%
17 Again,USA,17 Apr 2009,Columbia Pictures Corporation,7.3,60,26%,2009,7980100,40000000,64167069,75307837,PG-13,Fantasy,Original Screenplay,Live Action,Comedy,0.0,102.0,139474906,348.69%
Fantastic Mr. Fox,"USA, UK",25 Nov 2009,Four by Two Films,5.8,54,41%,2009,116510100,40000000,21002919,26080493,PG,Kids Fiction,Based on Fiction Book/Short Story,Stop-Motion Animation,Adventure,0.0,88.0,47083412,117.71%
The Final Destination,USA,28 Aug 2009,"Orange Cinéma Séries, Warner Bros., France 2 (FR2), Région Ile-de-France, Tapioca Production, France 3 (FR 3), Epithète Films, France 2 Cinéma, France 3 Cinéma",7.2,62,40%,2009,8230100,40000000,66477700,120906927,R,Fantasy,Original Screenplay,Live Action,Horror,1.0,81.0,187384627,468.46%
Cirque du Freak: The Vampire's Assistant,USA,23 Oct 2009,Josephson Entertainment,5.4,42,12%,2009,109380100,40000000,14046595,25707362,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,0.0,109.0,39753957,99.38%
The Karate Kid,USA,22 Jun 1984,N/A,7.8,63,57%,2009,111860100,40000000,176591618,175183320,PG,Contemporary Fiction,Remake,Live Action,Adventure,0.0,140.0,351774938,879.44%
Brüno,"USA, UK",10 Jul 2009,"BBC Worldwide, Greenlight Media",8.0,72,14%,2009,8660100,42000000,60054530,78653997,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0.0,82.0,138708527,330.26%
Micmacs,France,11 Jun 2010,"Capcom, Adlabs Films",3.7,17,84%,2009,135760100,42000000,1259693,10497229,R,Contemporary Fiction,,Live Action,Comedy,0.0,105.0,11756922,27.99%
Aliens in the Attic,"USA, Canada",31 Jul 2009,Gunn Films,5.7,52,65%,2009,21900100,45000000,25200412,34350871,PG,Science Fiction,Original Screenplay,Live Action,Adventure,0.0,85.0,59551283,132.34%
Mr. Nobody,"Belgium, Germany, Canada, France, UK, Luxembourg, USA",26 Sep 2013,"Summit Entertainment, Escape Artists",6.2,41,39%,2009,147720100,46500000,3622,18632,R,Science Fiction,Original Screenplay,Live Action,Drama,0.0,155.0,22254,0.05%
Earth,"UK, Germany, USA",22 Apr 2009,Atlas Entertainment,6.5,52,23%,2009,17740100,47000000,32011576,84761741,G,Factual,Based on TV,Live Action,Documentary,0.0,99.0,116773317,248.45%
Street Fighter: The Legend of Chun-Li,"Canada, India, USA, Japan, Thailand",27 Feb 2009,"Summit Entertainment, Temple Hill",4.7,44,10%,2009,38580100,50000000,8742261,3918026,PG-13,Contemporary Fiction,Based on Game,Live Action,Action,0.0,96.0,12660287,25.32%
Race to Witch Mountain,USA,13 Mar 2009,"Lakeshore Entertainment, Lionsgate Films",5.8,27,76%,2009,7470100,50000000,67172595,37931189,PG,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,98.0,105103784,210.21%
Knowing,"USA, UK, Australia, China",20 Mar 2009,"Silver Pictures, Anarchos Productions Inc.",6.3,34,90%,2009,5910100,50000000,79957634,106492683,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0.0,117.0,186450317,372.90%
The International,"USA, Germany, UK, France",13 Feb 2009,Davis Entertainment,4.3,30,50%,2009,21260100,50000000,25450527,28400000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,118.0,53850527,107.70%
Outlander,USA,09 Aug 2014,"Wayne Rice, Karz Entertainment",5.7,34,20%,2009,76700100,50000000,166003,1084614,R,Science Fiction,Original Screenplay,Live Action,Adventure,0.0,,1250617,2.50%
The Twilight Saga: New Moon,USA,20 Nov 2009,EuropaCorp,6.5,42,53%,2009,107880100,50000000,296623634,390934093,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,1.0,130.0,687557727,1375.12%
Gamer,USA,04 Sep 2009,Warp Films,7.4,34,89%,2009,25660100,50000000,20534907,21467122,R,Science Fiction,Original Screenplay,Live Action,Action,0.0,95.0,42002029,84.00%
Ninja Assassin,"Germany, USA, France",25 Nov 2009,Di Bonaventura Pictures,5.6,54,69%,2009,116560100,50000000,38122883,24087009,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,99.0,62209892,124.42%
Marmaduke,USA,04 Jun 2010,Lucasfilm Ltd.,5.9,46,10%,2009,111070100,50000000,33644788,56251142,PG,Kids Fiction,Based on Comic/Graphic Novel,Animation/Live Action,Adventure,0.0,88.0,89895930,179.79%
Valentine's Day,USA,12 Feb 2010,"Columbia Pictures, Castle Rock Entertainment",4.9,27,37%,2009,112380100,52000000,110485654,107083674,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,124.0,217569328,418.40%
Law Abiding Citizen,USA,16 Oct 2009,"Ocean Pictures, Apatow Company",4.9,34,39%,2009,114440100,53000000,73357727,57802054,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,118.0,131159781,247.47%
Imagine That,"USA, Germany",12 Jun 2009,"Andell Entertainment, Bevan-Fellner",7.1,64,58%,2009,29070100,55000000,16222392,0,PG,Contemporary Fiction,Original Screenplay,Live Action,Adventure,0.0,115.0,16222392,29.50%
Red Tails,USA,20 Jan 2012,Relativity,6.1,69,70%,2009,109930100,58000000,49876377,489121,PG-13,Historical Fiction,Based on Real Life Events,Live Action,Action,0.0,120.0,50365498,86.84%
Did You Hear About the Morgans?,USA,18 Dec 2009,New Line Cinema,6.1,49,46%,2009,109690100,58000000,29580087,50900479,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0.0,103.0,80480566,138.76%
The Soloist,"UK, France, USA",24 Apr 2009,Ilion Animation Studios,6.0,39,69%,2009,17920100,60000000,31853584,6668866,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,117.0,38522450,64.20%
